,grupo,segmento,familia,clase,producto
0,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101501] Gatos']
1,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101502] Perros']
2,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101504] Visón']
3,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101505] Ratas']
4,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101506] Caballos']
5,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101507] Ovejas']
6,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101508] Cabras']
7,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101509] Asnos']
8,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101510] Ratones']
9,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101511] Cerdos']
10,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101512] Conejos']
11,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101513] Cobayas o conejillos de indias']
12,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101514] Primates']
13,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101515] Armadillos']
14,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101516] Ganado vacuno']
15,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101500] Animales de granja'],['[10101517] Camellos']
16,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101600] Pájaros y aves de corral'],['[10101501] Gatos']
17,['[A] Material Vivo Animal y Vegetal'],"['[10000000] Material Vivo Vegetal y Animal, Accesorios y Suministros']",['[10100000] Animales vivos'],['[10101600] Pájaros y aves de corral'],['[10101502] Perros']
